Generation,Max_Score,Avg_Score,max_fitness,Avg_fitness
302.0,95,27.806,65711324.82175428,20887793.55460561
303.0,98,29.106,69718643.05906859,21632923.588646095
304.0,93,26.898,67711541.46493831,19982976.44924054
305.0,98,28.176,67694512.19512194,20881618.094088033
306.0,98,29.12,66682934.36293436,22029400.633133844
307.0,92,26.202,65674740.48442907,19311527.3908315
308.0,87,30.164,67690826.38362396,23274997.107447356
309.0,98,30.248,67716127.00408678,23032832.357920732
310.0,98,27.482,65697334.20026007,20487377.53984153
311.0,98,28.634,69722621.18491921,21456564.10060431
312.0,98,28.18,65717511.2895133,20866830.31738153
313.0,98,29.042,66714724.422175534,21874947.07474414
314.0,98,28.838,66712077.294686,21597309.58220283
315.0,98,27.76,64746590.09332376,20790498.089124046
316.0,98,27.806,65709794.83785573,20789094.388991844
317.0,98,29.496,66720430.10752688,22368420.46677741
318.0,88,27.858,66713110.78858248,20891535.495962817
319.0,98,28.524,67711319.28181109,21356355.01480243
320.0,98,27.41,64717612.55821977,20329668.30490022
321.0,98,28.778,69717895.3626635,21556106.70940638
322.0,98,27.924,67702761.06740707,20804424.034489136
323.0,92,26.7,65720524.01746725,19625320.0149309
324.0,98,29.414,67704390.84724799,22290977.673600614
325.0,98,29.748,67699953.90997082,22535052.625071526
326.0,98,28.216,67717593.32178296,21006865.93919029
327.0,92,29.164,69750232.9916123,21888252.649773024
328.0,98,28.716,65741060.63223354,21718464.605275672
329.0,98,30.586,68718309.85915492,23399859.68866267
330.0,98,29.838,68730386.05230385,22714555.53571668
331.0,98,29.562,68737156.32364494,22368879.5276612
332.0,98,30.214,68716554.67318265,23061891.788803414
333.0,98,31.444,69733596.59781288,23935886.72578725
334.0,98,31.004,70699310.53890531,23517426.672468934
335.0,98,29.79,67714442.5278344,22706686.709029306
336.0,98,30.21,70713158.27234897,22729701.91853187
337.0,94,28.252,67713770.95409681,21147629.337204278
338.0,98,29.154,70720081.13590263,21676052.94492284
339.0,98,29.142,67726982.60730812,21834077.771051053
340.0,98,28.242,67745418.84816754,20861318.489886444
341.0,98,29.54,69722945.66681634,21915212.64730008
342.0,98,28.538,67720886.07594937,21193402.530660484
343.0,98,29.95,68719300.93515253,22488852.093422756
344.0,98,29.832,70748493.97590362,22328568.64281843
345.0,98,31.882,71734271.76098822,24052833.714304857
346.0,98,30.256,69727738.43604039,22719565.214486063
347.0,98,31.82,71754538.74538745,23923371.296730008
348.0,98,31.492,73711913.5477069,23783173.531801634
349.0,98,33.552,73728818.1327577,25786692.263556346
350.0,98,29.806,71719189.64546989,22205363.956325285
351.0,98,30.334,70730345.334313,22834645.847527154
352.0,98,31.2,69758479.8994975,23804290.04754529
353.0,98,30.358,72737166.90042076,22578692.93334758
354.0,98,30.772,70736623.68460056,23196750.563949276
355.0,98,33.59,73704394.31477377,25955593.996833704
356.0,98,33.308,71742268.04123712,25489671.217276487
357.0,98,31.7,71744321.49097262,24171331.208934415
358.0,98,31.054,72740907.80941641,23324969.114819758
359.0,98,29.964,70723224.67986031,22230796.1971904
360.0,98,32.006,71726033.23391564,24228925.046205897
361.0,98,35.296,73725587.64271323,27313157.243880868
362.0,98,31.052,70704464.91849752,23496351.66289255
363.0,98,34.454,73736468.98432174,26532165.55614537
364.0,98,30.25,68748325.35885167,22811770.1728138
365.0,98,31.856,69750349.54171199,24310859.464563563
366.0,98,33.464,74758196.72131148,25466080.519716356
367.0,98,32.964,72727574.75083058,25298223.94095195
368.0,98,31.762,72710846.63240466,23972940.440519918
369.0,98,32.28,74747474.74747476,24402270.550885428
370.0,98,29.614,69725661.0576923,22086774.46282821
371.0,98,30.388,71751875.27577585,22641182.118731152
372.0,98,30.806,73701194.18483904,22951379.790500525
373.0,98,30.476,70722488.73382759,22805886.7583024
374.0,98,30.198,72734283.31936294,22150132.62272053
